"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2006";949000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2007";1154000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2008";1233000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2009";1507000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2010";1420000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2011";1453000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2012";1241000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2013";1283000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2014";1273000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2015";1307000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2016";1117000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2017";966000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2018";1184000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2019";NA;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
"2020";980000;"Actes de vandalisme";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Contre le logement";"Nombre";"France métropolitaine";"Annuelle";"Atteintes";"Non Renseigné"
