"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2006";419000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2007";410000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2008";349000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2009";388000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2010";441000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2011";513000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2012";511000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2013";534000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2014";548000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2015";489000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2016";470000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2017";569000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2018";490000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2019";NA;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2020";335000;"Cambriolages et tentatives";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Cambriolages et tentatives de cambriolages de résidences principales";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
