"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2010";5e+05;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2011";632000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2012";743000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2013";851000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2014";883000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2015";1102000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2016";1210000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2017";1219000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2018";1260000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2019";NA;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
"2020";1305000;"Escroqueries et autres infractions assimilées";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Nombre";"France métropolitaine";"Annuelle";"Ménages victimes";"Non Renseigné"
