"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2016";911;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Y compris attentats terroristes"
"2017";826;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Y compris attentats terroristes"
"2018";831;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Y compris attentats terroristes"
"2019";857;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Y compris attentats terroristes"
"2020";823;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Y compris attentats terroristes"
"2021";882;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Y compris attentats terroristes"
"2022";959;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Y compris attentats terroristes"
"2016";821;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2017";823;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2018";821;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2019";853;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2020";816;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2021";881;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2022";959;"Homicides";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Série rénovée: période 2016-aujourd'hui";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
