"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2008";1140;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Pas de distinction possible des victimes d'attentats (hormis 2015)"
"2009";933;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Pas de distinction possible des victimes d'attentats (hormis 2015)"
"2010";906;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Pas de distinction possible des victimes d'attentats (hormis 2015)"
"2011";967;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Pas de distinction possible des victimes d'attentats (hormis 2015)"
"2012";928;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Pas de distinction possible des victimes d'attentats (hormis 2015)"
"2013";873;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Pas de distinction possible des victimes d'attentats (hormis 2015)"
"2014";884;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Pas de distinction possible des victimes d'attentats (hormis 2015)"
"2015";1051;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Pas de distinction possible des victimes d'attentats (hormis 2015)"
"2008";NA;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2009";NA;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2010";NA;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2011";NA;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2012";NA;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2013";NA;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2014";NA;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
"2015";903;"Homicides";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Période 2008-2015 (sans retraitements et sans corrections)";"Nombre";"France";"Annuelle";"Victimes";"Hors attentats terroristes"
