"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2006";1898000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2007";1849000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2008";2061000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2009";1715000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2010";1704000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2011";1611000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2012";1637000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2013";1774000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2014";1938000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2015";1694000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2016";1811000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2017";1960000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2018";1805000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2019";NA;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2020";1516000;"Menaces";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Ensemble";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
