"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2010";0.436;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2011";0.441;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2012";0.405;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2013";0.33;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2014";0.308;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2015";0.278;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2016";0.277;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2017";0.229;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2018";0.18;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2019";NA;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
"2020";0.128;"Dépôt de plainte (victime ou ménage victime ayant déclaré avoir déposé plainte)";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Escroqueries bancaires";"Taux de dépôt de plainte";"France métropolitaine";"Annuelle";"Ménage victime";"Non Renseigné"
