"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2007";4040000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2008";3330000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2009";3670000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2010";4160000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2011";4220000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2012";4460000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2013";4760000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2014";4620000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2015";4270000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2016";3910000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2017";4230000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2018";4460000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2019";3970000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2020";NA;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2021";3690000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Au domicile";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
