"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2007";6130000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2008";5754000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2009";5718000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2010";5512000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2011";5975000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2012";5826000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2013";5791000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2014";5889000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2015";5556000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2016";5289100;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2017";5352000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2018";5807000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2019";5723000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2020";NA;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2021";5524000;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Renoncement à sortir seul de chez soi pour des raisons de sécurité";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
