"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2007";5492077;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2008";4875730;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2009";5301102;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2010";5500554;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2011";5522844;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2012";5801825;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2013";6033777;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2014";5800539;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2015";5663763;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2016";5473819;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2017";5709787;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2018";6207456;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2019";5925400;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2020";NA;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
"2021";5802700;"Sentiment d'insécurité";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Dans le quartier ou le village";"Nombre";"France métropolitaine";"Annuelle";"Personnes de 14 ans ou plus";"Non Renseigné"
