"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2016T1";49100;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2016T2";46000;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2016T3";44500;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2016T4";43000;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2017T1";45300;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2017T2";46700;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2017T3";48400;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2017T4";49300;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2018T1";47500;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2018T2";47200;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2018T3";47100;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2018T4";45700;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2019T1";44700;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2019T2";45800;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2019T3";44000;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2019T4";43800;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2020T1";36600;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2020T2";29500;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2020T3";41800;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2020T4";53200;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2021T1";57100;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2021T2";56000;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2021T3";53800;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2021T4";54300;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2022T1";57800;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2022T2";59500;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
"2022T3";68000;"Infractions à la législation sur les stupéfiants";"SSMSI, base statistique des mis en cause pour des infractions élucidées par la police et la gendarmerie";"Usage de stupéfiants";"Nombre";"France";"Trimestrielle";"Mis en cause";"Non Renseigné"
