"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2006";776000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2007";842000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2008";887000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2009";874000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2010";695000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2011";695000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2012";754000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2013";702000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2014";720000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2015";775000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2016";610000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2017";672000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2018";710000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2019";NA;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2020";441000;"Violences physiques";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Hors ménage";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
