"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2012T1";6562;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2012T2";6854;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2012T3";7007;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2012T4";7451;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2013T1";7081;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2013T2";7167;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2013T3";7440;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2013T4";7383;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2014T1";7798;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2014T2";7901;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2014T3";7830;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2014T4";8391;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2015T1";8086;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2015T2";8716;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2015T3";8694;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2015T4";9529;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2016T1";9634;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2016T2";9459;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2016T3";9884;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2016T4";9425;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2017T1";9926;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
"2017T2";10285;"Violences sexuelles";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Trimestrielle";"Victimes";"Non Renseigné"
