"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2006";361000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2007";323000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2008";241000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2009";291000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2010";3e+05;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2011";274000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2012";306000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2013";372000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2014";195000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2015";245000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2016";186000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2017";210000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2018";166000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2019";NA;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
"2020";122000;"Vols et tentatives de vols avec violence";"Insee-ONDRP-SSMSI, enquêtes Cadre de vie et sécurité, traitement SSMSI";"Non Renseigné";"Nombre";"France métropolitaine";"Annuelle";"Victimes";"Non Renseigné"
