"Figure 1 - Personnes mises en cause par les services de sécurité selon la nature du crime ou délit et la nationalité, en 2019",,,,,
,,,en %,,
,Répartition des mis en cause selon les crimes et délits,,Part des étrangers dans les mis en cause,,
,Étrangers,Français,,,
Atteintes à la personne,27.5,39.4,13.1,,
Atteintes physiques,16.8,20.5,15.0,,
dont CBV* sur personne de 15 ans ou plus,12.7,15.2,15.2,,
dont CBV* sur personne de moins de 15 ans,2.2,3.2,12.7,,
Infractions à caractère sexuel,2.5,3.4,13.5,,
Atteintes à la famille,1.4,3.5,8.1,,
Autres atteintes à la personne,6.8,12.0,10.9,,
Atteintes aux biens,30.1,21.1,23.5,,
Vols,27.3,16.2,26.6,,
Vols ou tentatives de vol avec violence,2.3,1.3,28.1,,
Cambriolages ou tentatives de cambriolage,4.5,3.1,23.5,,
Vols ou tentatives de vols liés au véhicule,2.5,2.3,18.9,,
Autres vols et tentatives de vol (y c. sans violence),18.1,9.5,29.0,,
Destructions et dégradations,2.7,4.9,10.8,,
Escroqueries et autres atteintes économiques et financières,9.4,7.8,20.7,,
Escroqueries,4.6,6.6,13.1,,
Atteintes économiques et financières,4.8,1.2,45.8,,
Infractions à la législation sur les stupéfiants,10.4,17.4,11.5,,
Autres crimes et délits,22.5,14.4,25.2,,
Ensemble,100.0,100.0,17.7,,
* Coups et blessures volontaires.,,,,,
"Note : catégories construites à partir des 107 index utilisés dans l’« État 4001 », voir Sources.",,,,,
"Lecture : en 2019, 2,7 % des étrangers mis en cause l'ont été pour destructions et dégradations ; ils représentent 10,8 % des personnes mises en cause pour destructions ou dégradations.",,,,,
"Champ : France, personnes mises en cause, hors infractions routières.",,,,,
"Source : SSMSI, base des mis en cause pour crimes ou délits enregistrés par la police et la gendarmerie 2019.",,,,,
